order,header,nonempty_rows,fill_rate,unique_nonempty,top_values_sample,classification,note
55,画像7の説明,40,0.1527,31,【先着限定クーポン配布中!】マーブルクッキー父の日クッキー洋菓子焼き菓子ギフトプレゼント(500g)天然生活パティシエ監修大容量業務用お徳用おやつティータイムお菓子ココア味プレーン味訳ありスイーツ焼菓子 (4) | 【先着限定クーポン配布中!】宮崎マンゴーキャンディ1000円ポッキリ送料無料訳ありスイーツ父の日スイーツフルーツギフトプレゼント(250g)天然生活飴マンゴーピューレ着色料不使用大容量個包装宮崎県産フルーツ国内製造キャンディー (4) | 【先着限定クーポン配布中!】有機宇治抹茶パウダー100gワンランク上1000円ポッキリ送料無料訳あり父の日お茶スイーツ健康ギフトプレゼント天然生活抹茶パウダー製菓用業務用お菓子用有機宇治抹茶粉末無添加 (3),optional_image_meta,画像説明。必要時のみ
56,画像8の説明,6,0.0229,6,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1) | 【先着限定クーポン配布中!】ジューシーカルパス父の日おつまみ肉グルメギフトプレゼント500g天然生活訳ありカルパスおつまみつまみ珍味業務用訳あり大容量業務用太サラミ通販 (1) | 【先着限定クーポン配布中!】炙り焼き豚バラジャーキー父の日肉おつまみグルメギフトプレゼント160g天然生活生姜焼き厚切りおつまみポークジャーキー豚肉珍味徳用ジャーキーおつまみ大容量訳あり豚バラ (1),optional_image_meta,画像説明。必要時のみ
57,画像9の説明,3,0.0115,3,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1) | 【先着限定クーポン配布中!】ジューシーカルパス父の日おつまみ肉グルメギフトプレゼント500g天然生活訳ありカルパスおつまみつまみ珍味業務用訳あり大容量業務用太サラミ通販 (1) | 【先着限定クーポン配布中!】有機宇治ほうじ茶パウダー100gワンランク上1000円ポッキリ送料無料天然生活京都府産ほうじ茶ラテ粉末ほうじ茶パウダーほうじ茶粉ほうじ茶茶葉粉末ほうじ茶ほうじ茶有機ほうじ茶香ばしいほうじ茶宇治露オーガニックほうじ茶 (1),optional_image_meta,画像説明。必要時のみ
58,画像10の説明,2,0.0076,2,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1) | 【先着限定クーポン配布中!】ジューシーカルパス父の日おつまみ肉グルメギフトプレゼント500g天然生活訳ありカルパスおつまみつまみ珍味業務用訳あり大容量業務用太サラミ通販 (1),optional_image_meta,画像説明。必要時のみ
59,画像11の説明,2,0.0076,2,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1) | 【先着限定クーポン配布中!】ジューシーカルパス父の日おつまみ肉グルメギフトプレゼント500g天然生活訳ありカルパスおつまみつまみ珍味業務用訳あり大容量業務用太サラミ通販 (1),optional_image_meta,画像説明。必要時のみ
60,画像12の説明,1,0.0038,1,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1),optional_image_meta,画像説明。必要時のみ
61,画像13の説明,1,0.0038,1,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1),optional_image_meta,画像説明。必要時のみ
62,画像14の説明,1,0.0038,1,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1),optional_image_meta,画像説明。必要時のみ
63,画像15の説明,1,0.0038,1,【先着限定クーポン配布中!】粉末宇治抹茶1000円ポッキリ送料無料訳あり父の日お茶健康ギフトプレゼント200g天然生活抹茶粉末茶道業務用無農薬ギフトダイエット濃茶大容量パウダー抹茶パウダー製菓用お菓子用 (1),optional_image_meta,画像説明。必要時のみ
64,画像16の説明,0,0.0,0,,unused,
65,画像17の説明,0,0.0,0,,unused,
66,画像18の説明,0,0.0,0,,unused,
67,画像19の説明,0,0.0,0,,unused,
68,画像20の説明,0,0.0,0,,unused,
69,在庫タイプ,262,1.0,2,1 (154) | 2 (108),control_or_optional,商品種別/運用ルールに応じて入力
70,選択肢項目名1（横軸）,109,0.416,28,袋数 (45) | 種類 (18) | 1種類目 (7),control_or_optional,商品種別/運用ルールに応じて入力
71,選択肢項目名2（縦軸）,14,0.0534,6,2種類目 (7) | 数量 (2) | 2種目 (2),control_or_optional,商品種別/運用ルールに応じて入力
72,Yahoo スペック項目（横軸）,0,0.0,0,,unused,
73,Yahoo スペック項目（縦軸）,0,0.0,0,,unused,
74,在庫数,221,0.8435,24,0 (174) | 10 (14) | 50 (4),control_or_optional,商品種別/運用ルールに応じて入力
75,在庫無制限,262,1.0,1,0 (262),fixed_value,固定値運用向き
76,au PAY マーケット管理ID,0,0.0,0,,unused,
77,付箋1,47,0.1794,3,二重価格OK_20260404 (40) | 1 (6) | 5 (1),control_or_optional,商品種別/運用ルールに応じて入力
78,付箋2,0,0.0,0,,unused,
79,付箋3,0,0.0,0,,unused,
80,新品・中古,262,1.0,1,0 (262),fixed_value,固定値運用向き
81,カタログIDなしの理由,262,1.0,3,0 (139) | 5 (120) | 3 (3),control_or_optional,商品種別/運用ルールに応じて入力
82,セット商品用カタログID,0,0.0,0,,unused,
83,オプションマスタ,75,0.2863,6,ゆうパケット対応商品 (67) | 柄ランダム (3) | 大根のど飴 (2),optional,必要時のみ
84,自由入力行（項目）1,10,0.0382,1,内容量 (10),optional,必要時のみ
85,自由入力行（値）1,10,0.0382,7,100g (3) | 500g (2) | 170g (1),optional,必要時のみ
86,自由入力行（項目）2,0,0.0,0,,unused,
87,自由入力行（値）2,0,0.0,0,,unused,
88,自由入力行（項目）3,0,0.0,0,,unused,
89,自由入力行（値）3,0,0.0,0,,unused,
90,自由入力行（項目）4,0,0.0,0,,unused,
91,自由入力行（値）4,0,0.0,0,,unused,
92,自由入力行（項目）5,0,0.0,0,,unused,
93,自由入力行（値）5,0,0.0,0,,unused,
94,商品属性（項目）1,262,1.0,4,シリーズ名 (239) | カラー (15) | ブランド名 (5),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
95,商品属性（値）1,262,1.0,52,天然生活 (115) | イガラシ (22) | リアライズ (18),attribute_value,商品ごとの差分入力
96,商品属性（単位）1,0,0.0,0,,unused,
97,商品属性（項目）2,262,1.0,4,ブランド名 (241) | シリーズ名 (13) | メーカー型番 (5),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
98,商品属性（値）2,262,1.0,55,天然生活 (124) | イガラシ (21) | リアライズ (19),attribute_value,商品ごとの差分入力
99,商品属性（単位）2,0,0.0,0,,unused,
100,商品属性（項目）3,262,1.0,8,原産国／製造国 (197) | メーカー型番 (32) | ブランド名 (13),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
101,商品属性（値）3,259,0.9885,52,日本 (174) | 天然生活 (9) | ドイツ (6),attribute_value,商品ごとの差分入力
102,商品属性（単位）3,10,0.0382,3,g (5) | 個 (4) | 包 (1),attribute_unit,属性値に応じて自動/テンプレ可
103,商品属性（項目）4,262,1.0,12,総重量 (123) | 総個数 (76) | 発売年月日 (27),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
104,商品属性（値）4,123,0.4695,41,500 (16) | 4 (14) | なし (9),attribute_value,商品ごとの差分入力
105,商品属性（単位）4,59,0.2252,3,g (56) | kg (2) | 個 (1),attribute_unit,属性値に応じて自動/テンプレ可
106,商品属性（項目）5,262,1.0,12,総個数 (122) | 総重量 (76) | おもちゃの素材 (27),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
107,商品属性（値）5,120,0.458,33,1 (35) | 日本 (13) | 50 (8),attribute_value,商品ごとの差分入力
108,商品属性（単位）5,33,0.126,2,g (31) | kg (2),attribute_unit,属性値に応じて自動/テンプレ可
109,商品属性（項目）6,262,1.0,14,総容量 (197) | キャラクター (27) | オーガニック認証機関・基準 (15),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
110,商品属性（値）6,2,0.0076,1,ノンカフェイン・デカフェ (2),attribute_value,商品ごとの差分入力
111,商品属性（単位）6,0,0.0,0,,unused,
112,商品属性（項目）7,262,1.0,30,オーガニック認証機関・基準 (71) | 産地（都道府県） (48) | 対象 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
113,商品属性（値）7,8,0.0305,4,中国 (3) | オーガニック・有機 (2) | 70 (2),attribute_value,商品ごとの差分入力
114,商品属性（単位）7,2,0.0076,1,% (2),attribute_unit,属性値に応じて自動/テンプレ可
115,商品属性（項目）8,262,1.0,37,食品配送状態 (48) | 産地（都道府県） (45) | 対象年齢 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
116,商品属性（値）8,1,0.0038,1,有 (1),attribute_value,商品ごとの差分入力
117,商品属性（単位）8,0,0.0,0,,unused,
118,商品属性（項目）9,262,1.0,38,単品重量 (50) | 産地（都道府県） (39) | 代表カラー (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
119,商品属性（値）9,2,0.0076,2,40 (1) | 宮崎 (1),attribute_value,商品ごとの差分入力
120,商品属性（単位）9,1,0.0038,1,g (1),attribute_unit,属性値に応じて自動/テンプレ可
121,商品属性（項目）10,262,1.0,32,食品の梱包方法 (51) | 自然派志向 (28) | 保存方法 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
122,商品属性（値）10,0,0.0,0,,unused,
123,商品属性（単位）10,0,0.0,0,,unused,
124,商品属性（項目）11,262,1.0,27,食品配送状態 (39) | 産地（都道府県） (30) | 状態 (28),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
125,商品属性（値）11,0,0.0,0,,unused,
126,商品属性（単位）11,0,0.0,0,,unused,
127,商品属性（項目）12,262,1.0,25,単品重量 (65) | 販売形態（並行輸入品） (28) | 中古状態 (28),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
128,商品属性（値）12,2,0.0076,1,直射日光、高温多湿をさけて保存してください (2),attribute_value,商品ごとの差分入力
129,商品属性（単位）12,0,0.0,0,,unused,
130,商品属性（項目）13,262,1.0,28,販売形態（並行輸入品） (29) | 販売形態（訳あり） (28) | 保存方法 (27),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
131,商品属性（値）13,6,0.0229,3,100 (4) | 200 (1) | 直射日光、高温多湿をさけてください。 (1),attribute_value,商品ごとの差分入力
132,商品属性（単位）13,5,0.0191,1,g (5),attribute_unit,属性値に応じて自動/テンプレ可
133,商品属性（項目）14,262,1.0,28,販売形態（並行輸入品） (51) | 販売形態（訳あり） (29) | アレルギー物質 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
134,商品属性（値）14,0,0.0,0,,unused,
135,商品属性（単位）14,0,0.0,0,,unused,
136,商品属性（項目）15,261,0.9962,25,販売形態（訳あり） (51) | イベント・祝日 (31) | 不使用添加物 (28),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
137,商品属性（値）15,0,0.0,0,,unused,
138,商品属性（単位）15,0,0.0,0,,unused,
139,商品属性（項目）16,261,0.9962,25,アレルギー物質 (46) | 単品（個装）個数 (38) | シリーズ名（カナ） (28),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
140,商品属性（値）16,0,0.0,0,,unused,
141,商品属性（単位）16,0,0.0,0,,unused,
142,商品属性（項目）17,261,0.9962,23,イベント・祝日 (45) | 販売形態（並行輸入品） (36) | 食品配送状態 (31),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
143,商品属性（値）17,0,0.0,0,,unused,
144,商品属性（単位）17,0,0.0,0,,unused,
145,商品属性（項目）18,259,0.9885,30,販売形態（並行輸入品） (49) | オーガニック認証機関・基準 (47) | 販売形態（訳あり） (36),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
146,商品属性（値）18,0,0.0,0,,unused,
147,商品属性（単位）18,0,0.0,0,,unused,
148,商品属性（項目）19,258,0.9847,25,シリーズ名（カナ） (50) | 販売形態（訳あり） (49) | ブランド名（カナ） (33),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
149,商品属性（値）19,0,0.0,0,,unused,
150,商品属性（単位）19,0,0.0,0,,unused,
151,商品属性（項目）20,255,0.9733,23,アレルギー物質 (52) | ハンドメイド・手作り (33) | ブランド名（カナ） (27),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
152,商品属性（値）20,0,0.0,0,,unused,
153,商品属性（単位）20,0,0.0,0,,unused,
154,商品属性（項目）21,252,0.9618,22,ブランド名（カナ） (44) | 栄養成分表示 (27) | 発売年月日（テキスト） (26),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
155,商品属性（値）21,2,0.0076,2,製造より常温180日(約60～180日弱賞味期限が残ったものでのお届けとなります） (1) | 受験 (1),attribute_value,商品ごとの差分入力
156,商品属性（単位）21,0,0.0,0,,unused,
157,商品属性（項目）22,251,0.958,23,栄養成分表示 (43) | ブランド名（カナ） (28) | 原材料 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
158,商品属性（値）22,6,0.0229,2,製造より常温1年(約４か月～１年弱賞味期限が残ったものでのお届けとなります） (4) | 1袋80ｇあたり(推定値) 熱量258kcal、たんぱく質4.4g、脂質0.0g、炭水化物66.9g、食塩相当量0.0g (2),attribute_value,商品ごとの差分入力
159,商品属性（単位）22,0,0.0,0,,unused,
160,商品属性（項目）23,249,0.9504,22,栄養成分表示 (49) | 個別包装の有無 (25) | 本体横幅 (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
161,商品属性（値）23,5,0.0191,3,2年 (2) | 砂糖(国内製造)、水飴、蜂蜜(葉山産)、三浦大根 (2) | 株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (1),attribute_value,商品ごとの差分入力
162,商品属性（単位）23,0,0.0,0,,unused,
163,商品属性（項目）24,249,0.9504,23,自然派志向 (48) | 原材料 (44) | ハンドメイド・手作り (26),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
164,商品属性（値）24,5,0.0191,2,株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (4) | 砂糖（国内製造）、生餡、水飴、寒天、食塩 (1),attribute_value,商品ごとの差分入力
165,商品属性（単位）24,0,0.0,0,,unused,
166,商品属性（項目）25,249,0.9504,20,種類の数 (48) | 自然派志向 (33) | 原材料 (33),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
167,商品属性（値）25,1,0.0038,1,製造より常温120日（約40日～120日弱賞味期限が残ったものでのお届けとなります） (1),attribute_value,商品ごとの差分入力
168,商品属性（単位）25,0,0.0,0,,unused,
169,商品属性（項目）26,245,0.9351,21,消費期限 (89) | ブランド名（カナ） (27) | 自然派志向 (24),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
170,商品属性（値）26,2,0.0076,2,製造日より常温150日（約50日～150日弱賞味期限が残ったものでのお届けとなります） (1) | 株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (1),attribute_value,商品ごとの差分入力
171,商品属性（単位）26,0,0.0,0,,unused,
172,商品属性（項目）27,241,0.9198,21,賞味期限 (89) | 消費期限 (27) | 配送サービス (25),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
173,商品属性（値）27,7,0.0267,5,製造より120日(約40日～120日弱賞味期限が残ったものでのお届けとなります) (2) | 製造より常温60日(約20日～60日弱賞味期限が残ったものでのお届けとなります) (2) | 製造日より常温90日（約30日～90日弱賞味期限が残ったものでのお届けとなります） (1),attribute_value,商品ごとの差分入力
174,商品属性（単位）27,0,0.0,0,,unused,
175,商品属性（項目）28,215,0.8206,19,食品の梱包方法 (53) | 製造者 (39) | 賞味期限 (27),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
176,商品属性（値）28,7,0.0267,4,株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (4) | 製造より常温120日(約40日～120日弱賞味期限が残ったものでのお届けとなります） (1) | 製造より常温120日（約40日～120日弱賞味期限が残ったものでのお届けとなります） (1),attribute_value,商品ごとの差分入力
177,商品属性（単位）28,0,0.0,0,,unused,
178,商品属性（項目）29,212,0.8092,18,製造者 (80) | 消費期限 (26) | 箱・袋数（セット数） (23),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
179,商品属性（値）29,3,0.0115,1,株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (3),attribute_value,商品ごとの差分入力
180,商品属性（単位）29,0,0.0,0,,unused,
181,商品属性（項目）30,208,0.7939,19,発売年月日 (50) | 販売者 (41) | 箱・袋数（セット数） (26),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
182,商品属性（値）30,1,0.0038,1,2年 (1),attribute_value,商品ごとの差分入力
183,商品属性（単位）30,0,0.0,0,,unused,
184,商品属性（項目）31,205,0.7824,20,発売年月日（テキスト） (50) | 発売年月日 (33) | 保存方法 (32),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
185,商品属性（値）31,1,0.0038,1,製造より冷凍90日（約30日～90日弱賞味期限が残ったものでのお届けとなります） (1),attribute_value,商品ごとの差分入力
186,商品属性（単位）31,0,0.0,0,,unused,
187,商品属性（項目）32,200,0.7634,16,不使用添加物 (46) | 名称 (36) | 発売年月日（テキスト） (33),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
188,商品属性（値）32,1,0.0038,1,株式会社天然生活 東京都品川区大崎3丁目6-4 トキワビル7階 (1),attribute_value,商品ごとの差分入力
189,商品属性（単位）32,0,0.0,0,,unused,
190,商品属性（項目）33,193,0.7366,14,名称 (50) | 輸入者 (36) | 不使用添加物 (33),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
191,商品属性（値）33,1,0.0038,1,生菓子 (1),attribute_value,商品ごとの差分入力
192,商品属性（単位）33,0,0.0,0,,unused,
193,商品属性（項目）34,187,0.7137,12,輸入者 (50) | 名称 (50) | シリーズ名（カナ） (30),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
194,商品属性（値）34,0,0.0,0,,unused,
195,商品属性（単位）34,0,0.0,0,,unused,
196,商品属性（項目）35,158,0.6031,10,輸入者 (58) | 加工者 (46) | 不使用添加物 (19),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
197,商品属性（値）35,0,0.0,0,,unused,
198,商品属性（単位）35,0,0.0,0,,unused,
199,商品属性（項目）36,136,0.5191,7,単品（個装）個数 (46) | 加工者 (41) | 名称 (20),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
200,商品属性（値）36,1,0.0038,1,50 (1),attribute_value,商品ごとの差分入力
201,商品属性（単位）36,0,0.0,0,,unused,
202,商品属性（項目）37,96,0.3664,9,単品（個装）個数 (26) | セット内容 (23) | 輸入者 (19),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
203,商品属性（値）37,0,0.0,0,,unused,
204,商品属性（単位）37,0,0.0,0,,unused,
205,商品属性（項目）38,85,0.3244,7,セット内容 (25) | ハンドメイド・手作り (23) | 加工者 (19),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
206,商品属性（値）38,0,0.0,0,,unused,
207,商品属性（単位）38,0,0.0,0,,unused,
208,商品属性（項目）39,35,0.1336,5,単品（個装）個数 (19) | 輸入者 (8) | 加工者 (6),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
209,商品属性（値）39,0,0.0,0,,unused,
210,商品属性（単位）39,0,0.0,0,,unused,
211,商品属性（項目）40,15,0.0573,3,加工者 (8) | 単品（個装）個数 (6) | 消費期限 (1),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
212,商品属性（値）40,0,0.0,0,,unused,
213,商品属性（単位）40,0,0.0,0,,unused,
214,商品属性（項目）41,15,0.0573,4,セット内容 (6) | ブランド名（カナ） (6) | 単品（個装）個数 (2),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
215,商品属性（値）41,0,0.0,0,,unused,
216,商品属性（単位）41,0,0.0,0,,unused,
217,商品属性（項目）42,1,0.0038,1,輸入者 (1),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
218,商品属性（値）42,0,0.0,0,,unused,
219,商品属性（単位）42,0,0.0,0,,unused,
220,商品属性（項目）43,1,0.0038,1,加工者 (1),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
221,商品属性（値）43,0,0.0,0,,unused,
222,商品属性（単位）43,0,0.0,0,,unused,
223,商品属性（項目）44,1,0.0038,1,製造者 (1),attribute_slot_name,ジャンル/カテゴリテンプレート化推奨
224,商品属性（値）44,0,0.0,0,,unused,
225,商品属性（単位）44,0,0.0,0,,unused,
226,商品属性（項目）45,0,0.0,0,,unused,
227,商品属性（値）45,0,0.0,0,,unused,
228,商品属性（単位）45,0,0.0,0,,unused,
229,商品属性（項目）46,0,0.0,0,,unused,
230,商品属性（値）46,0,0.0,0,,unused,
231,商品属性（単位）46,0,0.0,0,,unused,
232,商品属性（項目）47,0,0.0,0,,unused,
233,商品属性（値）47,0,0.0,0,,unused,
234,商品属性（単位）47,0,0.0,0,,unused,
235,商品属性（項目）48,0,0.0,0,,unused,
236,商品属性（値）48,0,0.0,0,,unused,
237,商品属性（単位）48,0,0.0,0,,unused,
238,商品属性（項目）49,0,0.0,0,,unused,
239,商品属性（値）49,0,0.0,0,,unused,
240,商品属性（単位）49,0,0.0,0,,unused,
241,商品属性（項目）50,0,0.0,0,,unused,
242,商品属性（値）50,0,0.0,0,,unused,
243,商品属性（単位）50,0,0.0,0,,unused,
244,商品属性（項目）51,0,0.0,0,,unused,
245,商品属性（値）51,0,0.0,0,,unused,
246,商品属性（単位）51,0,0.0,0,,unused,
247,商品属性（項目）52,0,0.0,0,,unused,
248,商品属性（値）52,0,0.0,0,,unused,
249,商品属性（単位）52,0,0.0,0,,unused,
250,商品属性（項目）53,0,0.0,0,,unused,
251,商品属性（値）53,0,0.0,0,,unused,
252,商品属性（単位）53,0,0.0,0,,unused,
253,商品属性（項目）54,0,0.0,0,,unused,
254,商品属性（値）54,0,0.0,0,,unused,
255,商品属性（単位）54,0,0.0,0,,unused,
256,商品属性（項目）55,0,0.0,0,,unused,
257,商品属性（値）55,0,0.0,0,,unused,
258,商品属性（単位）55,0,0.0,0,,unused,
259,商品属性（項目）56,0,0.0,0,,unused,
260,商品属性（値）56,0,0.0,0,,unused,
261,商品属性（単位）56,0,0.0,0,,unused,
262,商品属性（項目）57,0,0.0,0,,unused,
263,商品属性（値）57,0,0.0,0,,unused,
264,商品属性（単位）57,0,0.0,0,,unused,
265,商品属性（項目）58,0,0.0,0,,unused,
266,商品属性（値）58,0,0.0,0,,unused,
267,商品属性（単位）58,0,0.0,0,,unused,
268,商品属性（項目）59,0,0.0,0,,unused,
269,商品属性（値）59,0,0.0,0,,unused,
270,商品属性（単位）59,0,0.0,0,,unused,
271,商品属性（項目）60,0,0.0,0,,unused,
272,商品属性（値）60,0,0.0,0,,unused,
273,商品属性（単位）60,0,0.0,0,,unused,
274,商品属性（項目）61,0,0.0,0,,unused,
275,商品属性（値）61,0,0.0,0,,unused,
276,商品属性（単位）61,0,0.0,0,,unused,
277,商品属性（項目）62,0,0.0,0,,unused,
278,商品属性（値）62,0,0.0,0,,unused,
279,商品属性（単位）62,0,0.0,0,,unused,
280,商品属性（項目）63,0,0.0,0,,unused,
281,商品属性（値）63,0,0.0,0,,unused,
282,商品属性（単位）63,0,0.0,0,,unused,
283,商品属性（項目）64,0,0.0,0,,unused,
284,商品属性（値）64,0,0.0,0,,unused,
285,商品属性（単位）64,0,0.0,0,,unused,
286,商品属性（項目）65,0,0.0,0,,unused,
287,商品属性（値）65,0,0.0,0,,unused,
288,商品属性（単位）65,0,0.0,0,,unused,
289,商品属性（項目）66,0,0.0,0,,unused,
290,商品属性（値）66,0,0.0,0,,unused,
291,商品属性（単位）66,0,0.0,0,,unused,
292,商品属性（項目）67,0,0.0,0,,unused,
293,商品属性（値）67,0,0.0,0,,unused,
294,商品属性（単位）67,0,0.0,0,,unused,
295,商品属性（項目）68,0,0.0,0,,unused,
296,商品属性（値）68,0,0.0,0,,unused,
297,商品属性（単位）68,0,0.0,0,,unused,
298,商品属性（項目）69,0,0.0,0,,unused,
299,商品属性（値）69,0,0.0,0,,unused,
300,商品属性（単位）69,0,0.0,0,,unused,
301,商品属性（項目）70,0,0.0,0,,unused,
302,商品属性（値）70,0,0.0,0,,unused,
303,商品属性（単位）70,0,0.0,0,,unused,
304,商品属性（項目）71,0,0.0,0,,unused,
305,商品属性（値）71,0,0.0,0,,unused,
306,商品属性（単位）71,0,0.0,0,,unused,
307,商品属性（項目）72,0,0.0,0,,unused,
308,商品属性（値）72,0,0.0,0,,unused,
309,商品属性（単位）72,0,0.0,0,,unused,
310,商品属性（項目）73,0,0.0,0,,unused,
311,商品属性（値）73,0,0.0,0,,unused,
312,商品属性（単位）73,0,0.0,0,,unused,
313,商品属性（項目）74,0,0.0,0,,unused,
314,商品属性（値）74,0,0.0,0,,unused,
315,商品属性（単位）74,0,0.0,0,,unused,
316,商品属性（項目）75,0,0.0,0,,unused,
317,商品属性（値）75,0,0.0,0,,unused,
318,商品属性（単位）75,0,0.0,0,,unused,
319,商品属性（項目）76,0,0.0,0,,unused,
320,商品属性（値）76,0,0.0,0,,unused,
321,商品属性（単位）76,0,0.0,0,,unused,
322,商品属性（項目）77,0,0.0,0,,unused,
323,商品属性（値）77,0,0.0,0,,unused,
324,商品属性（単位）77,0,0.0,0,,unused,
325,商品属性（項目）78,0,0.0,0,,unused,
326,商品属性（値）78,0,0.0,0,,unused,
327,商品属性（単位）78,0,0.0,0,,unused,
328,商品属性（項目）79,0,0.0,0,,unused,
329,商品属性（値）79,0,0.0,0,,unused,
330,商品属性（単位）79,0,0.0,0,,unused,
331,商品属性（項目）80,0,0.0,0,,unused,
332,商品属性（値）80,0,0.0,0,,unused,
333,商品属性（単位）80,0,0.0,0,,unused,
334,商品属性（項目）81,0,0.0,0,,unused,
335,商品属性（値）81,0,0.0,0,,unused,
336,商品属性（単位）81,0,0.0,0,,unused,
337,商品属性（項目）82,0,0.0,0,,unused,
338,商品属性（値）82,0,0.0,0,,unused,
339,商品属性（単位）82,0,0.0,0,,unused,
340,商品属性（項目）83,0,0.0,0,,unused,
341,商品属性（値）83,0,0.0,0,,unused,
342,商品属性（単位）83,0,0.0,0,,unused,
343,商品属性（項目）84,0,0.0,0,,unused,
344,商品属性（値）84,0,0.0,0,,unused,
345,商品属性（単位）84,0,0.0,0,,unused,
346,商品属性（項目）85,0,0.0,0,,unused,
347,商品属性（値）85,0,0.0,0,,unused,
348,商品属性（単位）85,0,0.0,0,,unused,
349,商品属性（項目）86,0,0.0,0,,unused,
350,商品属性（値）86,0,0.0,0,,unused,
351,商品属性（単位）86,0,0.0,0,,unused,
352,商品属性（項目）87,0,0.0,0,,unused,
353,商品属性（値）87,0,0.0,0,,unused,
354,商品属性（単位）87,0,0.0,0,,unused,
355,商品属性（項目）88,0,0.0,0,,unused,
356,商品属性（値）88,0,0.0,0,,unused,
